fNight,PSF_deg,PSF_err_deg,number_muons
20120208,0.0832043616305637,0.003822357910992341,2
20120218,0.05026330937099713,3.7001211034549374e-05,5961
20120219,0.05357231184536681,4.86158105273738e-05,3956
20120220,0.04731880835636,3.281739071563659e-05,6789
20120221,0.05118512351105605,4.011325464998101e-05,5262
20120222,0.049187765085058746,2.6614732976877388e-05,11052
20120223,0.04968910492813961,2.540270238351699e-05,12367
20120224,0.04925863210225488,2.547033683852056e-05,12100
20120225,0.04955349282938721,2.570591764323739e-05,12014
20120226,0.057021108102292106,8.33683987813469e-05,1563
20120227,0.06031921092431809,0.0002586322657412386,188
20120228,0.0482947774476781,3.2606677148389586e-05,7122
20120229,0.04671044245409139,2.7719431919155613e-05,9318
20120301,0.04661773376270577,2.8704767918697013e-05,8662
20120303,0.04685588044659212,0.00011500685304812583,544
20120309,0.050983127052985674,0.00018077089099962683,257
20120310,0.04922155790121491,7.231367249759457e-05,1499
20120311,0.0474093456538486,3.942091545314919e-05,4720
20120313,0.050166422376018746,8.311134960101564e-05,1177
20120314,0.04734806710856099,4.536155023187385e-05,3557
20120315,0.046232006698660705,3.4035879063875134e-05,6082
20120316,0.0459990523055121,3.1496614682809967e-05,7048
20120317,0.04600460973440349,3.2494425319936914e-05,6623
20120318,0.04582276333575425,3.3396772759556055e-05,6233
20120320,0.04702144339021115,3.1059910451913095e-05,7501
20120322,0.05042262404118732,3.614543786951868e-05,6286
20120324,0.050191492405820576,4.0052526642843744e-05,5073
20120325,0.04851669785802505,3.061888129980109e-05,8143
20120326,0.048593940249095545,0.0001397525708870417,392
20120329,0.052375063865751775,4.516689505786384e-05,4358
20120330,0.051602288376411426,4.8923150355138834e-05,3598
20120408,0.05311212727881058,0.00011013108515656635,756
20120409,0.054720382065402536,8.397140591020036e-05,1393
20120410,0.05145254601169884,4.8084007298137784e-05,3702
20120412,0.050521075930318814,4.162702714070354e-05,4758
20120413,0.05008596523331508,4.073577483164688e-05,4884
20120414,0.048830536412701124,3.874584047071349e-05,5145
20120415,0.048046830478689385,3.4775553091027925e-05,6205
20120416,0.047783668784327486,2.675229339005685e-05,10386
20120417,0.049386845033488364,6.076993306513713e-05,2136
20120508,0.05070802361458749,9.141332037489412e-05,994
20120509,0.04838061259001897,4.732207789445908e-05,3392
20120510,0.0473732923552359,3.7301222534132466e-05,5265
20120512,0.04754165277698716,5.666581483563347e-05,2295
20120514,0.04754371567176269,8.835728414354556e-05,944
20120515,0.0477217730710864,6.17828360651189e-05,1943
20120516,0.046311481501267224,6.465311400291994e-05,1690
20120517,0.046598783339100766,2.8256957240802112e-05,8933
20120518,0.04816776263443899,2.518574240414954e-05,11882
20120520,0.04810193626068502,3.8993858634763405e-05,4945
20120521,0.046858271028848354,2.85470081458482e-05,8830
20120522,0.047185181082448145,3.744633828762912e-05,5190
20120523,0.04706779532200663,3.2457393062673e-05,6880
20120524,0.04688631769972205,3.2471892615362885e-05,6831
20120525,0.04780434383429365,2.6009307200573286e-05,10996
20120526,0.04794854166376518,3.1188490620682414e-05,7687
20120527,0.047514866323299446,3.377474356270729e-05,6454
20120529,0.047862816253054455,3.355115783170848e-05,6622
20120530,0.04816361340569739,4.1179367107531995e-05,4444
20120531,0.047538301787008914,5.454107582300605e-05,2477
20120605,0.0516561514793766,0.00018184562077671162,261
20120606,0.04887312098112548,6.851501291981339e-05,1648
20120608,0.045885561472796016,5.1921635307446685e-05,2584
20120609,0.04709608609058107,4.3421339689443664e-05,3848
20120611,0.045286922413908935,2.9555618222332838e-05,7824
20120612,0.0464597734248617,2.9406033841712824e-05,8210
20120613,0.04576930129476435,2.4493414831005183e-05,11568
20120614,0.04596863868022528,2.427339377915795e-05,11855
20120615,0.045315902695055706,2.4806042867501547e-05,11117
20120616,0.046471015296231946,2.5273014698137655e-05,11119
20120617,0.048508885708989695,2.8852372085394848e-05,9168
20120618,0.04310774013604495,2.731687205331278e-05,8600
20120619,0.0462120506343374,3.643812468881363e-05,5303
20120620,0.046833928316533525,2.649263906064425e-05,10244
20120621,0.04579099630736686,2.5684910183364343e-05,10527
20120622,0.04601072715125997,2.5714486329565687e-05,10578
20120623,0.04593591069393936,2.3595125390845026e-05,12533
20120624,0.04575117131590117,3.5832278912208953e-05,5402
20120626,0.04677068947632824,3.906988051639241e-05,4700
20120628,0.04571903830574651,4.388915464337298e-05,3597
20120629,0.04702263107287783,6.780571895529025e-05,1574
20120706,0.04865207402687688,5.947601606592055e-05,2169
20120707,0.049164659749345696,5.43800142449975e-05,2645
20120708,0.04831582457009564,5.2181727146337724e-05,2783
20120709,0.046685312610904965,3.6232802176470236e-05,5449
20120710,0.046499827350785075,7.434975634364009e-05,1286
20120711,0.0462433224237065,2.8740258512596752e-05,8533
20120712,0.046236826746630856,4.221594328309401e-05,3954
20120713,0.04762924437822807,3.2838559803043384e-05,6855
20120714,0.04784284307489477,2.9964830690716304e-05,8296
20120715,0.04809430777270118,3.476633262785272e-05,6219
20120716,0.0485243791786946,4.87060298745273e-05,3219
20120718,0.048902837393932176,3.671332908562231e-05,5746
20120725,0.04441548756223681,4.485706885749986e-05,3308
